registro,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,_class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedBy,measurementDeterminedDate,measurementMethod,measurementRemarks,resourceRelationshipID,resourceID,relatedResourceID,relationshipOfResource,relationshipAccordingTo,relationshipEstablishedDate,relationshipRemarks,uniprot
3215,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7814,TULV7814,469,"J. Betancur, R. Callejas, A. Arbelaez, H. Correa",,,,,,,,,,,,https://flic.kr/p/ZMg8Jd,,,,,,,,,,,,,,,,,6/23/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,San Luis,,"Orilla del Rio Samana Norte, canon bajo la autopista Medellín-Bogotá, después del puente sobre el mismo río. bmh-T.",,360,360,,,,,,,,,5.9833,-74.9333,WGS84,,,,,05°59'00''N,"74°56'00""W",grados minutos segundos,,,,,"J. Betancur, R. Callejas, A. Arbelaez, H. Correa",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Pitcairnia fluvialis L.B.Sm. & Betancur,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,,fluvialis,,Especie,,L.B.Sm. & Betancur,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2637981
3216,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7815,TULV7815,514,"J. Betancur, J. Zarucchi, A. Brant",,,,,,,,,,,,https://flic.kr/p/YNem6W,,,,,,,,,,,,,,,,,9/29/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,Salgar,La Margarita,"Corregimiento La Margarita, carretera al Dauro, en la frontera con el Departamento del Choco. 17 Km. de Salgar. bosque de Quercus. bmh-MB.",,2310,2310,,,,,,,,,5.9667,-76.1333,WGS84,,,,,05°58'00''N,"76°08'00""W",grados minutos segundos,,,,,"J. Betancur, J. Zarucchi, A. Brant",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Racinaea adpressa (André) J.R.Grant ,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Racinaea,,adpressa ,,Especie,,(André) J.R.Grant ,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2637981
3217,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7816,TULV7816,477,"J. Betancur, R. Callejas, A. Arbelaez",,,,,,,,,,,,https://flic.kr/p/q6nJBt,,,,,,,,,,,,,,,,,6/26/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,San Luis,,"A 10 Km. vía de San Carlos hacia San Luis, Dentro de bosque intervenido mas adentro de la carretera. bmh-PM.",,1240,1240,,,,,,,,,6.1167,-75.0333,WGS84,,,,,06°07'00''N,75°02'00''W,grados minutos segundos,,,,,"J. Betancur, R. Callejas, A. Arbelaez",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania sprucei (André) L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,sprucei,,Especie,,(André) L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2507809
3218,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV7817,TULV7817,416,"J. Betancur, J. Zarucchi, F. Roldan",,,,,,,,,,,,https://flic.kr/p/CEnEhG,,,,,,,,,,,,,,,,,4/2/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,Sonsón,,Mesopotamia. sitio El Buey. 32 Km. de Sonson a Mesopotamia. bmh-MB.,,2300,2300,,,,,,,,,5.85,-75.2833,WGS84,,,,,05°51'00''N,"75°17'00""W",grados minutos segundos,,,,,"J. Betancur, J. Zarucchi, F. Roldan",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania pearcei (Baker) L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,pearcei,,Especie,,(Baker) L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2507809
3219,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8366,TULV8366,51,"B. Echeverry, J. Betancurt, R. Fonnegra",,,,,,,,,,,,https://flic.kr/p/q6T8hR,,,,,,,,,,,,,,,,,3/5/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,Mutatá,Pavarandó Grande,"Corregiento Pavarandó Grande, 3 Km. Al otro lado del puente.",,130,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Heliconia vaginales Benth.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,,vaginales,,Especie,,Benth.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2507809
3220,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8371,TULV8371,55,"B. Echeverry, J. Betancurt, R. Fonnegra, J. Roldan, O. Escobar",,,,,,,,,,,,https://flic.kr/p/q6Ug7V,,,,,,,,,,,,,,,,,3/5/1987,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Antioquia,Mutatá,Pavarandó Grande,"Corregimiento Pavarandó Grande, después del pueblo, al otro lado del puente.",,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Heliconia hirsuta L.f.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,,hirsuta,,Especie,,L.f.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2507809
3221,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8415,TULV8415,3071,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,https://flic.kr/p/ZLnLLn,,,,,,,,,,,,,,,,,9/14/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Tumaco,,"Road to Tumaco, between Altaquer and Junin, 16 Km. from Altaquer, Cluod forest",,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania kraenzliniana Wittm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,kraenzliniana,,Especie,,Wittm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3222,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8418,TULV8418,3073,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,https://flic.kr/p/FTqtCi,,,,,,,,,,,,,,,,,9/14/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Tumaco,,"1 Km. from El Diviso, towards Tumaco, terrestrial on steep open banks.",,600,600,,,,,,,,,1.3667,-78.2167,WGS84,,,,,01°22'00''N,78°13'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Pitcairnia commixta L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,,commixta,,Especie,,L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3223,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8436,TULV8436,3084,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,https://flic.kr/p/FPMmSB,,,,,,,,,,,,,,,,,9/15/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Tumaco,,"100 Km. from Tumaco, between El Diviso and La Guayacana. Under story of wet primary forest.",,600,600,,,,,,,,,1.8,-78.8,WGS84,,,,,01°48'00''N,78°48'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania sprucei (André) L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,sprucei,,Especie,,(André) L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3224,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8439,TULV8439,3088,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,https://flic.kr/p/ZHDH6J,,,,,,,,,,,,,,,,,9/16/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Barbacoas,,"32 Km. from Barbacoas on the road to Junin, Primary cluod forest.",,650,650,,,,,,,,,1.4667,-78.2,WGS84,,,,,01°28'00''N,78°12'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania graminifolia (André ex Baker) L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,graminifolia,,Especie,,(André ex Baker) L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3225,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8440,TULV8440,3089,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,https://flic.kr/p/ZPZiKt,,,,,,,,,,,,,,,,,9/16/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Nariño,Barbacoas,,"32 Km. from Barbacoas on the road to Junin, Primary cluod forest,",,650,650,,,,,,,,,1.4667,-78.2,WGS84,,,,,01°28'00''N,78°12'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry, X. Londoño, & W. Devia",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Pitcairnia archeri L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,,archeri,,Especie,,L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3226,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8454,TULV8454,3101,"W. J. Kress, C. Roesel",,,,,,,,,,,,https://flic.kr/p/ZQdEqb,,,,,,,,,,,,,,,,,9/18/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Cauca,Puracé,,Near the entrance to the Parque Nacional Purace. Páramo.,,3250,3250,,,,,,,,,2.3653,-76.3692,WGS84,,,,,02°21'55''N,"76°21'69""W",grados minutos segundos,,,,,"W. J. Kress, C. Roesel",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Puya hamata L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Puya,,hamata,,Especie,,L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3227,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8455,TULV8455,3103,"W. J. Kress, C. Roesel, B. Echeverry & W. Devia",,,,,,,,,,,,https://flic.kr/p/ZHAaaL,,,,,,,,,,,,,,,,,9/18/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Cauca,Puracé,,Parque Nacional Puracé Paramo and subparamo vegetation.,,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Greigia vulcanica André,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Greigia,,vulcanica,,Especie,,André,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3228,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8471,TULV8471,3112,"W. J. Kress, C. Roesel",,,,,,,,,,,,https://flic.kr/p/ZMfNt9,,,,,,,,,,,,,,,,,9/20/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Huila,Altamira,,"42 Km. from Altamira along the road to Florencia, Cloud forest.",,2200,2200,,,,,,,,,1.8672,-74.6736,WGS84,,,,,01°52'02''N,74°40'25''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Pitcairnia trianae André,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,,trianae,,Especie,,André,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3229,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8518,TULV8518,3137,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,https://flic.kr/p/ZLnrFt,,,,,,,,,,,,,,,,,9/26/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,,"Outside Buenaventura, 6 Km. from San Isidro de Calima, Old secondary and primary wet forest.",,50,50,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania scherzeriana Mez,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,scherzeriana,,Especie,,Mez,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3230,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8526,TULV8526,3143,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,https://flic.kr/p/ZLnjdn,,,,,,,,,,,,,,,,,9/27/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,,"Road to Malaga, 46-55 Km. from turnolf of main Cali-Buenaventura, Highway.",,125,125,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania scherzeriana Mez,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,scherzeriana,,Especie,,Mez,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3231,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8529,TULV8529,3149,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,https://flic.kr/p/CEgRaL,,,,,,,,,,,,,,,,,9/27/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,,"Road to Malaga, 46-55 Km. from turnolf of main Cali-Buenaventura, Highway.",,125,125,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Aechmea dactylina Baker,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Aechmea,,dactylina,,Especie,,Baker,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3232,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8530,TULV8530,3156,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,https://flic.kr/p/YNjU2j,,,,,,,,,,,,,,,,,9/27/1990,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,,"Road to Malaga, 46-55 Km. from turnolf of main Cali-Buenaventura, Highway",,125,125,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. J. Kress, C. Roesel, B. Echeverry",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Ronnbergia germinyana (Carrière) Aguirre-Santoro,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Ronnbergia,,germinyana,,Especie,,(Carrière) Aguirre-Santoro,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3233,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV8891,TULV8891,3227,"W. Devia, F. Prado",,,,,,,,,,,,https://flic.kr/p/ZQuFwN,,,,,,,,,,,,,,,,,5/6/1991,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,,"Vía Malaga, Km. 47. Bosque Pluvial Tropical.",,50,50,,,,,,,,,3.9333,-77.1333,WGS84,,,,,03°56'00''N,77°08'00''W,grados minutos segundos,,,,,"W. Devia, F. Prado",,,,,,,,,,,,,,,,,,,,,,,,,,,Wallnofer B.,1999,,,,,,,,,,,,Diospyros domarkind B.Walln.,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Ericales,EBENACEAE,Diospyros,,domarkind,,Especie,,B.Walln.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3234,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV9413,TULV9413,3391,"W. Devia, H. Acevedo",,,,,,,,,,,,https://flic.kr/p/ZNtDsW,,,,,,,,,,,,,,,,,6/10/1992,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Cisneros,"Corregimiento Cisneros, a 20 Km. de Buenaventura, vía nueva a Cali.",,150,150,,,,,,,,,3.8167,-76.75,WGS84,,,,,03°49'00''N,76°45'00''W,grados minutos segundos,,,,,"W. Devia, H. Acevedo",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Heliconia mucilagina Abalo & G.Morales,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,,mucilagina,,Especie,,Abalo & G.Morales,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3235,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV9414,TULV9414,3391,"W. Devia, H. Acevedo",,,,,,,,,,,,https://flic.kr/p/ZTaYHk,,,,,,,,,,,,,,,,,6/10/1992,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Cisneros,"Corregimiento Cisneros, a 20 Km. de Buenaventura, vía nueva a Cali.",,150,150,,,,,,,,,3.8167,-76.75,WGS84,,,,,03°49'00''N,76°45'00''W,grados minutos segundos,,,,,"W. Devia, H. Acevedo",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Heliconia mucilagina Abalo & G.Morales,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,,mucilagina,,Especie,,Abalo & G.Morales,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3236,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV10549,TULV10549,3458,"W. Devia, D. Cardenas, A. Cruz",,,,,,,,,,,,https://flic.kr/p/ZMfFgy,,,,,,,,,,,,,,,,,11/17/1992,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.",,130,130,,,,,,,,,3.8281,-76.8694,WGS84,,,,,03°49'41''N,76°52'10''W,grados minutos segundos,,,,,"W. Devia, D. Cardenas, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Pitcairnia similis L.B.Sm.,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Pitcairnia,,similis,,Especie,,L.B.Sm.,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2566205
3237,,,es,,,,,,800086201-5,Registro Nacional de Colecciones:72,,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,INCIVA,,,Espécime preservado,,,,INCIVA:TULV10550,TULV10550,4242,"W. Devia, A. Cogollo, G. Ramirez, Kell, Gonzalez, A. Cruz",,,,,,,,,,,,https://flic.kr/p/ZHDnD7,,,,,,,,,,,,,,,,,9/14/1993,,,,,,,,,,,,,,,,,,SA,,,,Colombia,,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical.",,100,100,,,,,,,,,3.8281,-76.8694,WGS84,,,,,03°49'41''N,76°52'10''W,grados minutos segundos,,,,,"W. Devia, A. Cogollo, G. Ramirez, Kell, Gonzalez, A. Cruz",,,,,,,,,,,,,,,,,,,,,,,,,,,J. Betancur,6/23/2017,,,,,,,,,,,,Guzmania conglomerata H.Luther,,,,,,,,Plantae,Magnoliophyta,Liliopsida,Poales,BROMELIACEAE,Guzmania,,conglomerata,,Especie,,H.Luther,,Cronquist81; APG3,,,,,,,,,,,,,,,,,,,,2637981
